Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2021-02-28;20,00;12,00;0,00;8,00;4,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2021-03-07;30,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;11,00;18,00;14,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-03-21;8,00;0,00;8,00;4,00;8,00;8,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2021-03-28;0,00;8,00;8,00;4,00;8,00;4,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-04-04;15,00;19,00;0,00;4,00;4,00;8,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2021-04-11;19,00;12,00;4,00;4,00;8,00;8,00;8,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;4,00;8,00;4,00;4,00;20,00;4,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;15,00;15,00;8,00;12,00;12,00;4,00;4,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00
2021-05-02;30,00;7,00;26,00;11,00;11,00;15,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;27,00;16,00;24,00;8,00;8,00;23,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-05-16;52,00;26,00;30,00;0,00;15,00;15,00;11,00;4,00;7,00;4,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2021-05-23;27,00;24,00;8,00;8,00;8,00;16,00;4,00;4,00;4,00;8,00;4,00;8,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2021-05-30;52,00;32,00;20,00;4,00;24,00;12,00;0,00;12,00;0,00;8,00;4,00;4,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00
2021-06-06;47,00;8,00;51,00;4,00;8,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;31,00;42,00;27,00;35,00;12,00;27,00;12,00;23,00;0,00;8,00;4,00;19,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2021-06-20;66,00;47,00;31,00;8,00;15,00;23,00;8,00;8,00;8,00;0,00;8,00;8,00;0,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00
2021-06-27;35,00;28,00;32,00;16,00;16,00;35,00;4,00;12,00;4,00;8,00;0,00;8,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2021-07-04;67,00;59,00;42,00;17,00;25,00;38,00;13,00;21,00;0,00;17,00;8,00;0,00;8,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-07-11;43,00;13,00;43,00;26,00;38,00;77,00;9,00;13,00;0,00;4,00;0,00;13,00;17,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-18;43,00;29,00;48,00;62,00;19,00;34,00;34,00;10,00;5,00;19,00;5,00;5,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00
2021-07-25;88,00;31,00;71,00;31,00;35,00;44,00;13,00;18,00;9,00;13,00;4,00;9,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00
2021-08-01;44,00;9,00;53,00;39,00;35,00;31,00;9,00;13,00;22,00;22,00;9,00;0,00;9,00;4,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00
2021-08-08;63,00;27,00;59,00;36,00;18,00;36,00;9,00;14,00;0,00;23,00;0,00;5,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-15;48,00;26,00;39,00;26,00;30,00;17,00;4,00;22,00;0,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-22;41,00;23,00;32,00;23,00;27,00;9,00;9,00;5,00;0,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-29;78,00;23,00;14,00;9,00;32,00;14,00;14,00;0,00;0,00;5,00;14,00;14,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00
2021-09-05;33,00;19,00;14,00;14,00;5,00;19,00;5,00;14,00;5,00;9,00;5,00;9,00;5,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;32,00;18,00;14,00;9,00;9,00;9,00;5,00;5,00;5,00;0,00;0,00;14,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-19;37,00;5,00;18,00;14,00;18,00;5,00;5,00;5,00;5,00;5,00;0,00;9,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2021-09-26;27,00;22,00;4,00;13,00;9,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00
2021-10-03;13,00;9,00;0,00;13,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-10-10;9,00;23,00;14,00;5,00;14,00;5,00;0,00;0,00;0,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2021-10-17;27,00;9,00;4,00;9,00;9,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
