Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-01;40,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;12,00;4,00;8,00;12,00;8,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;46,00;0,00;0,00;0,00;8,18;4,00;0,00;4,00;4,00;4,00;0,00;29,00;4,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;50,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;8,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;37,00;0,00;4,11;0,00;8,22;0,00;0,00;4,00;0,00;4,00;0,00;12,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;33,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;50,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;41,00;0,00;0,00;4,00;20,00;4,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;4,00;8,00;4,00;4,00;4,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;28,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;48,00;8,17;0,00;0,00;16,34;0,00;0,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;8,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;28,00;4,15;0,00;4,15;16,59;0,00;0,00;4,00;0,00;8,00;0,00;16,00;0,00;12,00;8,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;12,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
