Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-07-28;68,00;9,00;21,00;9,00;86,00;211,03;46,90;18,55;105,09;204,00;6,18;21,00;21,00;9,00;4,00;34,00;9,00;64,00;13,00;0,00;4,43;4,43;9,00;4,00;0,00;4,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;78,00;22,00;22,00;13,00;65,00;184,36;35,45;26,00;58,50;299,00;26,00;39,00;13,00;17,00;0,00;44,00;26,00;43,00;13,00;0,00;8,83;0,00;0,00;0,00;4,00;4,00;13,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00
2019-08-11;57,00;17,00;17,00;0,00;96,00;211,38;47,50;19,00;82,33;278,67;6,33;4,00;31,00;22,00;4,00;17,00;17,00;30,00;4,00;0,00;0,00;4,50;9,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00
2019-08-18;93,00;0,00;21,00;17,00;43,00;186,00;28,62;6,64;86,36;664,29;19,93;0,00;26,00;8,00;0,00;34,00;25,00;55,00;8,00;0,00;0,00;4,43;4,00;4,00;0,00;0,00;13,00;4,00;17,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-08-25;52,00;12,00;20,00;4,00;56,00;151,27;30,73;6,50;39,00;331,50;0,00;0,00;16,00;12,00;0,00;8,00;8,00;72,00;0,00;0,00;20,80;0,00;8,00;0,00;8,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00
2019-09-01;49,00;8,00;27,00;0,00;42,00;151,67;49,00;6,13;36,75;85,75;24,50;0,00;8,00;27,00;0,00;8,00;27,00;34,00;15,00;0,00;7,42;4,45;11,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;52,00;15,00;11,00;0,00;15,00;85,09;44,91;6,50;45,50;58,50;6,50;4,00;7,00;7,00;0,00;26,00;4,00;22,00;11,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;49,00;7,00;22,00;7,00;30,00;88,20;39,20;14,00;42,00;91,00;7,00;4,00;7,00;15,00;0,00;19,00;7,00;19,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;30,00;4,00;23,00;15,00;26,00;83,08;25,38;6,00;24,00;78,00;6,00;11,00;11,00;0,00;0,00;19,00;0,00;37,00;7,00;0,00;4,50;0,00;8,00;4,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;45,00;4,00;11,00;22,00;26,00;66,32;30,79;6,43;19,29;83,57;0,00;4,00;7,00;4,00;0,00;11,00;19,00;30,00;0,00;0,00;4,50;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
