Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-12-15;53,00;10,00;5,00;5,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;14,72;29,44;0,00;0,00;10,00;5,00;0,00;0,00;99,09;0,00;0,00;5,00;0,00;14,00;0,00;0,00;5,00;5,00;14,00;10,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;83,00;11,00;0,00;11,00;6,00;0,00;0,00;11,00;0,00;0,00;0,00;5,93;62,25;0,00;0,00;17,00;0,00;4,61;4,61;175,22;0,00;6,00;0,00;0,00;5,00;5,00;0,00;0,00;17,00;6,00;17,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;100,00;0,00;16,00;32,00;5,00;10,00;5,00;16,00;0,00;11,76;0,00;0,00;52,94;0,00;5,00;21,00;0,00;16,28;0,00;232,56;0,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;5,00;26,00;5,00;5,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;57,00;5,00;14,00;14,00;5,00;5,00;0,00;5,00;0,00;9,00;6,00;9,00;30,00;0,00;0,00;5,00;9,00;0,00;0,00;111,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;44,00;4,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;26,40;13,00;4,00;9,00;0,00;4,63;0,00;78,74;0,00;0,00;4,00;0,00;4,00;0,00;9,00;9,00;4,00;0,00;9,00;13,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;54,00;9,00;18,00;9,00;4,00;0,00;4,00;0,00;0,00;9,00;0,00;6,00;27,00;4,00;0,00;9,00;4,00;4,70;0,00;108,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;22,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;31,00;9,00;0,00;9,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;12,40;40,30;0,00;0,00;9,00;0,00;0,00;0,00;90,62;0,00;0,00;9,00;4,00;0,00;0,00;0,00;9,00;0,00;4,00;0,00;9,00;22,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;30,00;17,00;4,00;9,00;4,00;4,00;0,00;13,00;0,00;0,00;3,00;3,00;21,00;0,00;4,00;0,00;4,00;0,00;0,00;39,23;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;9,00;13,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;63,00;4,00;0,00;9,00;13,00;0,00;0,00;9,00;0,00;0,00;0,00;15,00;24,00;0,00;0,00;0,00;13,00;4,67;0,00;95,67;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;53,00;0,00;4,00;13,00;4,00;0,00;9,00;13,00;0,00;0,00;0,00;8,83;26,50;4,00;0,00;9,00;9,00;4,61;0,00;106,00;9,22;0,00;9,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;42,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;3,00;3,00;9,00;51,00;21,00;0,00;4,00;0,00;4,67;0,00;81,67;4,67;4,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;17,00;4,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;2,83;0,00;0,00;17,00;0,00;0,00;4,00;0,00;4,86;0,00;60,71;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;8,00;4,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;12,00;0,00;4,00;4,00;12,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;9,00;0,00;0,00;4,00;0,00;4,80;0,00;21,60;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;12,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;4,00;0,00;0,00;8,00;12,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;8,00;4,00;0,00;0,00;60,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;2,67;0,00;0,00;8,00;0,00;0,00;0,00;21,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;12,00;0,00;8,00;4,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;4,00;0,00;0,00;12,00;4,80;0,00;7,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;2,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;4,00;4,00;0,00;0,00;3,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;16,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,60;4,00;0,00;4,00;0,00;0,00;0,00;11,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;8,00;0,00;0,00;12,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;2,67;0,00;0,00;4,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
